action,Allocation
XOM,0.03226108207780563
CVX,0.027462702316238586
BRK-B,0.07673971467650512
JPM,0.018753388652107583
RTX,0.01666769741511626
HON,0.0620175955226008
KO,0.06185180073407134
LIN,0.04710023064060757
AMZN,0.06888843788288597
META,0.02814927461032457
AAPL,0.02985654412156164
MSFT,0.05053855051824497
GOOG,0.05903858651353255
UNH,0.04968489654985304
HD,0.032512764051594326
SHW,0.03475286130934388
JNJ,0.10163522251879711
PG,0.055363791434384586
NEE,0.03168322058658365
DUK,0.05954553915461363
PLD,0.026956421204616252
AMT,0.02853967750861088
