,allocation_minvol,allocation_maxSharpe_Ratio
AAPL,0.0,10.464740251519213
MSFT,4.446642156102501,0.0
UNH,0.4303797397970109,1.749902306391604e-14
JNJ,20.97873473481448,7.28583859910259e-14
BRK-B,0.0,0.0
JPM,13.994670193767615,7.266322959997851e-14
AMZN,12.859820984264037,0.0
HD,1.8336778344195077,0.0
RTX,0.0,1.5373986805844453e-14
HON,0.0,0.0
GOOG,6.443169154290785e-16,0.0
META,0.0,3.71881345162528e-14
PG,11.137533771281882,4.9808247803984074e-14
KO,6.189325673101132,5.644356509959536e-14
XOM,0.3701112150532899,89.53525974848073
CVX,1.8743680350681702,8.990204414249803e-14
NEE,0.0,0.0
DUK,20.05392863704819,0.0
LIN,3.1701962079646665e-16,3.7990444123892075e-14
SHW,3.837510822864549,0.0
PLD,1.0213521794920318e-16,0.0
AMT,1.9932962024176517,0.0
