,allocation_minvol,allocation_maxSharpe_Ratio
AAPL,0.0,33.11572269608082
MSFT,0.0,1.4575742956352e-14
UNH,1.6639352609853794e-15,0.0
JNJ,35.76043173218806,0.0
BRK-B,11.179354040721403,3.2437973748050686e-15
JPM,0.0,5.5091022889419694e-15
AMZN,22.81938994552917,2.8843516631175534
HD,7.75857144957764e-16,0.6977318473238912
RTX,0.0,3.2335652168022366e-14
HON,1.500196584629967e-16,7.237727127698546e-15
GOOG,2.5634792228643983e-15,39.51934198058087
META,1.7157504970787298e-15,2.2924099684490384e-15
PG,14.145968775589743,0.0
KO,15.243693725565741,0.0
XOM,2.41375150562831e-16,2.2199717107998507e-14
CVX,0.0,0.0
NEE,0.0,0.0
DUK,2.2534416186998885e-15,0.0
LIN,1.2499986938301268e-15,1.0916560624213423e-15
SHW,0.8511617804058895,14.869307205703263
PLD,0.0,8.913544607193614
AMT,1.912706120646442e-15,1.079797601159782e-14
