AAPL;MSFT;UNH;JNJ;BRK-B;JPM;AMZN;HD;RTX;HON;GOOG;META;PG;KO;XOM;CVX;NEE;DUK;LIN;SHW;PLD;AMT
0,000148576;0,000171065;0,000335259;0,010596571;0,003391296;0,005570376;0,000227073;0,0016258;0,034320161;0,003928963;0,00097966;0,000652332;0,007561357;0,003682548;0,141158223;0,101298094;0,000848383;0,008418108;0,001191627;0,001545564;0,001019689;0,000816955
7,31E-05;6,72E-05;0,000176166;0,001683676;0,000663134;0,000685481;0,000100012;0,000260793;0,005247432;0,000696667;0,000327849;0,000254253;0,000954077;0,001478044;0,015314372;0,013011831;0,000362011;0,001786857;0,000247402;0,000211428;0,000230305;0,000234528
4,47E-05;3,12E-05;0,000124748;0,001103627;0,000403619;0,000433895;6,08E-05;0,000183393;0,002654715;0,000420202;0,000177878;0,00013771;0,000727959;0,000979708;0,008309008;0,006617303;0,000228339;0,001170759;0,000142732;0,000154787;0,000157057;0,00015936
2,63E-05;1,36E-05;6,07E-05;0,000757791;0,000281857;0,000333281;4,04E-05;0,000129327;0,001420102;0,000331776;0,000149874;0,000116558;0,000537041;0,000723535;0,002775738;0,00138993;0,000172245;0,001111311;0,000102567;0,000131928;0,000137791;0,000135145
1,57E-05;1,62E-05;2,27E-05;0,000430556;0,000153403;0,000281991;2,73E-05;0,000127164;0,001016267;0,000213851;0,000114818;6,31E-05;0,00042773;0,000625329;0,000907326;0,000880958;0,000109502;0,000909312;7,83E-05;9,85E-05;0,000132964;0,000128095
1,73E-05;1,28E-05;2,12E-05;0,000273381;8,05E-05;0,000243151;1,37E-05;0,000102867;0,000769915;0,00011582;8,82E-05;4,66E-05;0,000363927;0,000559277;0,000582255;0,000719065;5,83E-05;0,000777332;5,77E-05;9,71E-05;0,000106894;0,000109666
2,24E-05;1,24E-05;1,53E-05;0,000205362;5,14E-05;0,000202015;1,20E-05;8,80E-05;0,000600745;7,49E-05;5,57E-05;4,80E-05;0,000322048;0,00052942;0,000471717;0,000521186;3,59E-05;0,000719952;3,96E-05;7,98E-05;8,85E-05;9,84E-05
2,24E-05;1,09E-05;1,59E-05;0,000192917;3,71E-05;0,000169907;8,62E-06;7,06E-05;0,00052026;5,55E-05;3,64E-05;6,15E-05;0,000293619;0,000504706;0,000423608;0,000449663;3,41E-05;0,000673127;3,26E-05;7,18E-05;8,69E-05;8,94E-05
1,88E-05;1,21E-05;1,83E-05;0,000193344;3,73E-05;0,000149855;8,08E-06;5,04E-05;0,000504467;5,73E-05;3,17E-05;4,98E-05;0,000260047;0,000534534;0,000385993;0,000385539;3,03E-05;0,000637639;3,21E-05;6,06E-05;7,52E-05;8,25E-05
1,41E-05;1,01E-05;1,58E-05;0,000197532;3,79E-05;0,000126548;8,74E-06;3,68E-05;0,000505278;5,47E-05;3,58E-05;4,19E-05;0,00024159;0,000466561;0,0003674;0,000389291;3,02E-05;0,000594443;3,14E-05;5,13E-05;6,40E-05;7,74E-05
